"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","86","10. Todos doneStatus @post @api","chromium","Fri Oct 31 07:36:35 UTC 2025","passed","Fri Oct 31 07:36:35 UTC 2025","API testing","api/api.spec.js","",""
"","86","8. Todos @head @api","chromium","Fri Oct 31 07:36:34 UTC 2025","passed","Fri Oct 31 07:36:35 UTC 2025","API testing","api/api.spec.js","",""
"","76","18. Updating a task of a non-existent task @post @api","chromium","Fri Oct 31 07:36:36 UTC 2025","passed","Fri Oct 31 07:36:36 UTC 2025","API testing","api/api.spec.js","",""
"","77","19. Fill change task @put @api","chromium","Fri Oct 31 07:36:36 UTC 2025","passed","Fri Oct 31 07:36:36 UTC 2025","API testing","api/api.spec.js","",""
"","75","21. No title @put @api","chromium","Fri Oct 31 07:36:36 UTC 2025","passed","Fri Oct 31 07:36:36 UTC 2025","API testing","api/api.spec.js","",""
"","73","29. Todos no acept @get @api","chromium","Fri Oct 31 07:36:37 UTC 2025","passed","Fri Oct 31 07:36:37 UTC 2025","API testing","api/api.spec.js","",""
"","76","11. Todos title too long @post @api","chromium","Fri Oct 31 07:36:35 UTC 2025","passed","Fri Oct 31 07:36:35 UTC 2025","API testing","api/api.spec.js","",""
"","226","9. Todos @post @api","chromium","Fri Oct 31 07:36:35 UTC 2025","passed","Fri Oct 31 07:36:35 UTC 2025","API testing","api/api.spec.js","",""
"","74","22. No amend id @put @api","chromium","Fri Oct 31 07:36:36 UTC 2025","passed","Fri Oct 31 07:36:36 UTC 2025","API testing","api/api.spec.js","",""
"","75","28. Todos XMLandJSON @get @api","chromium","Fri Oct 31 07:36:37 UTC 2025","passed","Fri Oct 31 07:36:37 UTC 2025","API testing","api/api.spec.js","",""
"","148","35. Restore that challengers progress into memory @put @api","chromium","Fri Oct 31 07:36:37 UTC 2025","passed","Fri Oct 31 07:36:37 UTC 2025","API testing","api/api.spec.js","",""
"","145","23. Delete todo @delete @api","chromium","Fri Oct 31 07:36:36 UTC 2025","passed","Fri Oct 31 07:36:36 UTC 2025","API testing","api/api.spec.js","",""
"","78","4. Todo @get @api","chromium","Fri Oct 31 07:36:34 UTC 2025","passed","Fri Oct 31 07:36:34 UTC 2025","API testing","api/api.spec.js","",""
"","76","13. Todos max size content @post @api","chromium","Fri Oct 31 07:36:35 UTC 2025","passed","Fri Oct 31 07:36:35 UTC 2025","API testing","api/api.spec.js","",""
"","85","20. Partial update @put @api","chromium","Fri Oct 31 07:36:36 UTC 2025","passed","Fri Oct 31 07:36:36 UTC 2025","API testing","api/api.spec.js","",""
"","76","17. Update title @post @api","chromium","Fri Oct 31 07:36:35 UTC 2025","passed","Fri Oct 31 07:36:36 UTC 2025","API testing","api/api.spec.js","",""
"","76","27. Todos ANY @get @api","chromium","Fri Oct 31 07:36:37 UTC 2025","passed","Fri Oct 31 07:36:37 UTC 2025","API testing","api/api.spec.js","",""
"","76","32. Create todos JSON @post @api","chromium","Fri Oct 31 07:36:37 UTC 2025","passed","Fri Oct 31 07:36:37 UTC 2025","API testing","api/api.spec.js","",""
"","74","33. Create todos unsupported Content-Type @post @api","chromium","Fri Oct 31 07:36:37 UTC 2025","passed","Fri Oct 31 07:36:37 UTC 2025","API testing","api/api.spec.js","",""
"","86","6. Todos ID negativ @get @api","chromium","Fri Oct 31 07:36:34 UTC 2025","passed","Fri Oct 31 07:36:34 UTC 2025","API testing","api/api.spec.js","",""
"","76","34. Return the progress data @get @api","chromium","Fri Oct 31 07:36:37 UTC 2025","passed","Fri Oct 31 07:36:37 UTC 2025","API testing","api/api.spec.js","",""
"","157","2. Challenges @get @api","chromium","Fri Oct 31 07:36:33 UTC 2025","passed","Fri Oct 31 07:36:33 UTC 2025","API testing","api/api.spec.js","",""
"","220","25. Todos XML @get @api","chromium","Fri Oct 31 07:36:36 UTC 2025","passed","Fri Oct 31 07:36:37 UTC 2025","API testing","api/api.spec.js","",""
"","88","3. Todos @get @api","chromium","Fri Oct 31 07:36:34 UTC 2025","passed","Fri Oct 31 07:36:34 UTC 2025","API testing","api/api.spec.js","",""
"","79","30. Todos gzip @get @api","chromium","Fri Oct 31 07:36:37 UTC 2025","passed","Fri Oct 31 07:36:37 UTC 2025","API testing","api/api.spec.js","",""
"","76","15. Todos priority @post @api","chromium","Fri Oct 31 07:36:35 UTC 2025","passed","Fri Oct 31 07:36:35 UTC 2025","API testing","api/api.spec.js","",""
"","240","24. Options @options @api","chromium","Fri Oct 31 07:36:36 UTC 2025","passed","Fri Oct 31 07:36:36 UTC 2025","API testing","api/api.spec.js","",""
"","76","14. Todos Content too long @post @api","chromium","Fri Oct 31 07:36:35 UTC 2025","passed","Fri Oct 31 07:36:35 UTC 2025","API testing","api/api.spec.js","",""
"","76","31. Create todos XML @post @api","chromium","Fri Oct 31 07:36:37 UTC 2025","passed","Fri Oct 31 07:36:37 UTC 2025","API testing","api/api.spec.js","",""
"","75","16. Todos put @put @api","chromium","Fri Oct 31 07:36:35 UTC 2025","passed","Fri Oct 31 07:36:35 UTC 2025","API testing","api/api.spec.js","",""
"","83","5. Todos ID positive @get @api","chromium","Fri Oct 31 07:36:34 UTC 2025","passed","Fri Oct 31 07:36:34 UTC 2025","API testing","api/api.spec.js","",""
