"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","74","5. Todos ID positive @get @api","chromium","Fri Oct 31 15:20:50 UTC 2025","passed","Fri Oct 31 15:20:50 UTC 2025","API testing","api/api.spec.js","",""
"","69","19. Fill change task @put @api","chromium","Fri Oct 31 15:20:52 UTC 2025","passed","Fri Oct 31 15:20:52 UTC 2025","API testing","api/api.spec.js","",""
"","73","6. Todos ID negativ @get @api","chromium","Fri Oct 31 15:20:50 UTC 2025","passed","Fri Oct 31 15:20:50 UTC 2025","API testing","api/api.spec.js","",""
"","211","7. Todos filter @get @api","chromium","Fri Oct 31 15:20:50 UTC 2025","passed","Fri Oct 31 15:20:51 UTC 2025","API testing","api/api.spec.js","",""
"","72","8. Todos @head @api","chromium","Fri Oct 31 15:20:51 UTC 2025","passed","Fri Oct 31 15:20:51 UTC 2025","API testing","api/api.spec.js","",""
"","206","25. Todos XML @get @api","chromium","Fri Oct 31 15:20:52 UTC 2025","passed","Fri Oct 31 15:20:52 UTC 2025","API testing","api/api.spec.js","",""
"","3138","Check user profile @e2e","chromium","Fri Oct 31 15:21:59 UTC 2025","passed","Fri Oct 31 15:22:02 UTC 2025","All test for realworld","e2e/ui.spec.js","",""
"","67","21. No title @put @api","chromium","Fri Oct 31 15:20:52 UTC 2025","passed","Fri Oct 31 15:20:52 UTC 2025","API testing","api/api.spec.js","",""
"","69","32. Create todos JSON @post @api","chromium","Fri Oct 31 15:20:53 UTC 2025","passed","Fri Oct 31 15:20:53 UTC 2025","API testing","api/api.spec.js","",""
"","77","10. Todos doneStatus @post @api","chromium","Fri Oct 31 15:20:51 UTC 2025","passed","Fri Oct 31 15:20:51 UTC 2025","API testing","api/api.spec.js","",""
"","67","22. No amend id @put @api","chromium","Fri Oct 31 15:20:52 UTC 2025","passed","Fri Oct 31 15:20:52 UTC 2025","API testing","api/api.spec.js","",""
"","68","18. Updating a task of a non-existent task @post @api","chromium","Fri Oct 31 15:20:51 UTC 2025","passed","Fri Oct 31 15:20:52 UTC 2025","API testing","api/api.spec.js","",""
"","2977","User authorization @e2e","chromium","Fri Oct 31 15:21:45 UTC 2025","passed","Fri Oct 31 15:21:48 UTC 2025","All test for realworld","e2e/ui.spec.js","",""
"","72","4. Todo @get @api","chromium","Fri Oct 31 15:20:50 UTC 2025","passed","Fri Oct 31 15:20:50 UTC 2025","API testing","api/api.spec.js","",""
"","67","16. Todos put @put @api","chromium","Fri Oct 31 15:20:51 UTC 2025","passed","Fri Oct 31 15:20:51 UTC 2025","API testing","api/api.spec.js","",""
"","67","11. Todos title too long @post @api","chromium","Fri Oct 31 15:20:51 UTC 2025","passed","Fri Oct 31 15:20:51 UTC 2025","API testing","api/api.spec.js","",""
"","67","12. Todos description too long @post @api","chromium","Fri Oct 31 15:20:51 UTC 2025","passed","Fri Oct 31 15:20:51 UTC 2025","API testing","api/api.spec.js","",""
"","75","3. Todos @get @api","chromium","Fri Oct 31 15:20:50 UTC 2025","passed","Fri Oct 31 15:20:50 UTC 2025","API testing","api/api.spec.js","",""
"","68","29. Todos no acept @get @api","chromium","Fri Oct 31 15:20:53 UTC 2025","passed","Fri Oct 31 15:20:53 UTC 2025","API testing","api/api.spec.js","",""
"","69","33. Create todos unsupported Content-Type @post @api","chromium","Fri Oct 31 15:20:53 UTC 2025","passed","Fri Oct 31 15:20:53 UTC 2025","API testing","api/api.spec.js","",""
"","70","34. Return the progress data @get @api","chromium","Fri Oct 31 15:20:53 UTC 2025","passed","Fri Oct 31 15:20:53 UTC 2025","API testing","api/api.spec.js","",""
"","139","2. Challenges @get @api","chromium","Fri Oct 31 15:20:49 UTC 2025","passed","Fri Oct 31 15:20:50 UTC 2025","API testing","api/api.spec.js","",""
"","68","15. Todos priority @post @api","chromium","Fri Oct 31 15:20:51 UTC 2025","passed","Fri Oct 31 15:20:51 UTC 2025","API testing","api/api.spec.js","",""
"","129","23. Delete todo @delete @api","chromium","Fri Oct 31 15:20:52 UTC 2025","passed","Fri Oct 31 15:20:52 UTC 2025","API testing","api/api.spec.js","",""
"","3449","Edit profile @e2e","chromium","Fri Oct 31 15:22:02 UTC 2025","passed","Fri Oct 31 15:22:06 UTC 2025","All test for realworld","e2e/ui.spec.js","",""
"","67","13. Todos max size content @post @api","chromium","Fri Oct 31 15:20:51 UTC 2025","passed","Fri Oct 31 15:20:51 UTC 2025","API testing","api/api.spec.js","",""
"","70","27. Todos ANY @get @api","chromium","Fri Oct 31 15:20:53 UTC 2025","passed","Fri Oct 31 15:20:53 UTC 2025","API testing","api/api.spec.js","",""
"","68","28. Todos XMLandJSON @get @api","chromium","Fri Oct 31 15:20:53 UTC 2025","passed","Fri Oct 31 15:20:53 UTC 2025","API testing","api/api.spec.js","",""
"","71","31. Create todos XML @post @api","chromium","Fri Oct 31 15:20:53 UTC 2025","passed","Fri Oct 31 15:20:53 UTC 2025","API testing","api/api.spec.js","",""
"","69","26. Todos JSON @get @api","chromium","Fri Oct 31 15:20:52 UTC 2025","passed","Fri Oct 31 15:20:53 UTC 2025","API testing","api/api.spec.js","",""
"","3871","User registration @e2e","chromium","Fri Oct 31 15:21:41 UTC 2025","passed","Fri Oct 31 15:21:45 UTC 2025","All test for realworld","e2e/ui.spec.js","",""
"","200","9. Todos @post @api","chromium","Fri Oct 31 15:20:51 UTC 2025","passed","Fri Oct 31 15:20:51 UTC 2025","API testing","api/api.spec.js","",""
"","69","17. Update title @post @api","chromium","Fri Oct 31 15:20:51 UTC 2025","passed","Fri Oct 31 15:20:51 UTC 2025","API testing","api/api.spec.js","",""
"","68","20. Partial update @put @api","chromium","Fri Oct 31 15:20:52 UTC 2025","passed","Fri Oct 31 15:20:52 UTC 2025","API testing","api/api.spec.js","",""
"","3470","Create new article - positiv @e2e","chromium","Fri Oct 31 15:21:48 UTC 2025","passed","Fri Oct 31 15:21:52 UTC 2025","All test for realworld","e2e/ui.spec.js","",""
"","136","35. Restore that challengers progress into memory @put @api","chromium","Fri Oct 31 15:20:53 UTC 2025","passed","Fri Oct 31 15:20:53 UTC 2025","API testing","api/api.spec.js","",""
"","70","14. Todos Content too long @post @api","chromium","Fri Oct 31 15:20:51 UTC 2025","passed","Fri Oct 31 15:20:51 UTC 2025","API testing","api/api.spec.js","",""
"","207","24. Options @options @api","chromium","Fri Oct 31 15:20:52 UTC 2025","passed","Fri Oct 31 15:20:52 UTC 2025","API testing","api/api.spec.js","",""
"","3303","Click popular tags @e2e","chromium","Fri Oct 31 15:21:56 UTC 2025","passed","Fri Oct 31 15:21:59 UTC 2025","All test for realworld","e2e/ui.spec.js","",""
"","68","30. Todos gzip @get @api","chromium","Fri Oct 31 15:20:53 UTC 2025","passed","Fri Oct 31 15:20:53 UTC 2025","API testing","api/api.spec.js","",""
"","3806","Create new article - negativ @e2e","chromium","Fri Oct 31 15:21:52 UTC 2025","passed","Fri Oct 31 15:21:56 UTC 2025","All test for realworld","e2e/ui.spec.js","",""
